Date,Open,High,Low,Close,Adj Close,Volume
2022-03-11,455.899994,460.250000,452.450012,455.000000,445.532440,677385
2022-03-14,458.000000,466.000000,457.149994,463.700012,454.051422,1337602
2022-03-15,465.950012,465.950012,448.250000,450.149994,440.783356,620279
2022-03-16,455.200012,459.549988,452.399994,458.000000,448.470032,525587
2022-03-17,458.950012,478.750000,454.450012,469.350006,464.656525,2446309
2022-03-21,479.000000,479.000000,457.549988,465.850006,461.191498,1437822
2022-03-22,469.950012,481.149994,455.000000,459.850006,455.251495,4455083
2022-03-23,463.500000,465.899994,456.700012,458.549988,453.964478,1078159
2022-03-24,462.000000,472.850006,461.000000,466.000000,461.339996,1922557
2022-03-25,466.000000,473.500000,463.399994,467.700012,463.023010,947642
2022-03-28,470.000000,471.950012,461.250000,464.549988,459.904480,903849
2022-03-29,465.200012,480.000000,465.200012,477.000000,472.230011,1385307
2022-03-30,479.000000,493.750000,476.500000,488.399994,483.515991,1760303
2022-03-31,491.950012,496.950012,484.250000,489.850006,484.951508,1807751
2022-04-01,489.399994,502.750000,488.049988,498.399994,493.415985,797115
2022-04-04,500.000000,504.799988,494.750000,498.149994,493.168488,769914
2022-04-05,500.000000,505.899994,496.600006,498.250000,493.267517,558271
2022-04-06,497.000000,510.500000,495.299988,498.600006,493.614014,1056473
2022-04-07,498.899994,507.899994,495.799988,497.500000,492.524994,793610
2022-04-08,500.799988,515.000000,500.799988,512.700012,507.573029,1888728
2022-04-11,513.000000,540.000000,512.950012,529.700012,524.403015,1752753
2022-04-12,535.000000,535.400024,516.400024,518.400024,513.216003,3564287
2022-04-13,520.450012,524.400024,507.399994,509.450012,504.355530,952674
2022-04-18,505.000000,508.000000,496.100006,505.649994,500.593506,782153
2022-04-19,506.500000,515.500000,495.000000,498.850006,493.861511,851507
2022-04-20,498.500000,507.299988,493.600006,497.450012,492.475525,793305
2022-04-21,501.899994,505.850006,497.500000,503.549988,498.514496,569542
2022-04-22,499.899994,507.799988,495.500000,497.850006,492.871521,712962
2022-04-25,494.950012,495.700012,485.200012,489.899994,485.001007,650943
2022-04-26,492.000000,504.000000,492.000000,501.350006,496.336517,655338
2022-04-27,497.450012,504.000000,491.950012,496.500000,491.535004,417333
2022-04-28,499.700012,501.000000,488.000000,491.299988,486.386993,582711
2022-04-29,492.549988,496.049988,481.000000,482.450012,477.625519,514649
2022-05-02,479.950012,483.600006,475.600006,481.399994,476.585999,502602
2022-05-04,487.100006,487.100006,458.149994,460.500000,455.895020,743424
2022-05-05,464.500000,471.899994,461.700012,462.950012,458.320526,445154
2022-05-06,455.600006,458.799988,450.299988,453.000000,448.470001,425058
2022-05-09,450.500000,457.100006,444.000000,446.799988,442.332001,434444
2022-05-10,442.250000,449.700012,435.000000,436.549988,432.184479,355003
2022-05-11,440.000000,441.000000,421.799988,431.149994,426.838501,504866
2022-05-12,429.000000,429.950012,409.350006,413.649994,409.513489,646025
2022-05-13,417.149994,424.299988,408.649994,409.950012,405.850525,424502
2022-05-16,414.750000,416.250000,403.700012,411.149994,407.038483,693649
2022-05-17,413.700012,424.500000,407.600006,423.500000,419.265015,573484
2022-05-18,425.700012,429.899994,419.899994,422.149994,417.928497,655107
2022-05-19,412.700012,416.399994,402.950012,404.399994,400.355988,545936
2022-05-20,409.000000,442.549988,407.500000,438.350006,433.966522,1392194
2022-05-23,432.000000,442.299988,426.000000,427.500000,423.225006,820642
2022-05-24,427.500000,436.850006,416.350006,419.600006,415.404022,917292
2022-05-25,419.600006,425.450012,410.899994,415.049988,410.899506,999128
2022-05-26,417.950012,424.799988,405.299988,419.950012,415.750519,1238774
2022-05-27,423.100006,426.899994,418.000000,424.700012,420.453003,555322
2022-05-30,423.799988,434.649994,422.700012,433.450012,429.115509,686462
2022-05-31,431.000000,448.899994,430.149994,445.500000,441.045013,1415219
2022-06-01,441.649994,449.649994,436.350006,442.750000,438.322510,1975815
2022-06-02,440.000000,445.600006,437.049988,442.149994,437.728485,485663
2022-06-03,448.149994,448.149994,430.299988,431.350006,427.036499,587958
